Date,Text,Label,Country
4/13/2022,"CS Amb. Raychelle Omamo held a press briefing on the visit by the Special Envoy from the Kingdom of Saudi Arabia H.E. Minister Ahmed Bin Abdulaziz Kattan, who delivered a good will message to H.E President Uhuru Kenyatta from King Salman Bin Abdulaziz Al Saud of Saudi Arabia.",Receive,
4/8/2022,President Yoweri K. Museveni of the Republic of Uganda arrives in Kenya to witness the signing ceremony of the treaty of Accession by Democratic Republic of Congo to the East Africa Community (EAC). H.E  Museveni was received at #JKIA by C.S Foreign Affairs Amb. Raychelle Omamo,Receive,
4/5/2022,"C.S Amb. Raychelle Omamo met with H.E Mrs. Liesje Schreinermacher, Minister for Foreign Trade and Development of the Netherlands. The two reaffirmed longstanding bilateral ties and cooperation with Kenya in areas of agriculture which C.S said was key to Kenya food security.",Away,
4/5/2022,"On his official visit to Dublin 🇮🇪 PS @AmbMKamau accompanied by Amb. Mubea, paid a courtesy call to Mr. Joe Hackett, Secretary General Department of Foreign Affairs. Discussions centered around strengthening Kenya/ Ireland engagement on both bilateral and multilateral levels.",Away,
4/4/2022,"PS @AmbMKamau and Hon. Leslie Campbell, Minister of State in the Ministry of Foreign Affairs and Foreign Trade of Jamaica held bilateral talks on increasing cooperation between the two African nations; including on Blue Economy and exchange of best practices in various industries",Away,
4/2/2022,"PS @AmbMKamau met with Mr. Tiago Pitta e Cunha,CEO of the Oceano Azul Foundation as he wrapped up his official visit in Portugal. They discussed possible areas of Cooperation in marine science and education; partnerships in Ocean dialogue and the promise of leaving no one behind.",Away,
4/1/2022,"Foreign Affairs PS @AmbMKamau today paid a courtesy call to the Secretary of State for Foreign Affairs, Mr. Francisco Andre, during his official visit to Portugal ahead of the proposed state visit on the margins of #UNOC.",Away,
3/27/2022,"1/3  CS @ForeignOfficeKE Amb. Raychelle Omamo travelled to Doha, Qatar to attend the Doha Forum 2022, held on 26th and 27th March 2022. #DohaForum",Away,
3/21/2022,1/2  CS @ForeignOfficeKE Amb. Raychelle Omamo today held talks with the newly appointed Special Envoy of the People's Republic of China to the Horn of Africa H.E. Xue Bing.,Receive,
3/18/2022,1/2 PS @AmbMKamau  held bilateral talks with Amb. Xue Bing newly appointed special envoy of the people's Republic of China to the Horn of Africa.,Receive,
3/17/2022,CS Amb Raychelle Omamo also conveyed warm greetings and best wishes from H.E President Uhuru Kenyatta to H.E Joko Widodo President of the Republic of Indonesia.,Away,
3/17/2022,Cabinet Secretary Amb Raychelle Omamo today paid a courtesy call on H.E the Vice President of Indonesia H.E Prof. Dr Mairuf Amin at his official residence. The VP said Indonesia considers Kenya as an important partner in Eastern Africa.,Away,
3/17/2022,"1/2 CS Amb. Raychelle Omamo held a bilateral meeting with  H.E. Saeed bin Muhammad bin Ahmed al Saqri, Minister for Economy in Oman. Discussions focused on ways of reinvigorating friendship post Covid-19 by creating more trade awareness to Kenyan business community.",Away,
3/17/2022,"1/2  CS Amb. Raychelle Omamo met with the Minister for Agriculture, Fisheries Wealth and Water Resources of Oman, H.E. Dr. Saud bin Ahmed Al Habsi. They noted the huge potential that exists in the food security sector of the two countries as envisioned in the
vision 2030 ...",Away,
3/16/2022,"During the Official Visit to the Sultanate of Oman, CS Amb. Raychelle Omamo visited the Kenya Embassy in Muscat. She thanked the staff for their hard work in strengthening the fraternal relations and increasing the quantum of business between Kenya and Oman. @KenEmbMuscat",Away,
