,Date,Text
0,2023-01-31,"Mr Hohn said TCIFF will support underprivileged Kenyans through bursaries, championing laws to protect minors and increasing community health workers across the country.

He also said the fund will support efforts to mitigate climate change."
1,2023-01-31,The President said the government will scale up awareness and implementation of the Children’s Act to protect children.
2,2023-01-31,"“We have partnered with counties on a shilling for shilling basis for training and remuneration of health workers, however, we need equipment and technology,” he said."
3,2023-01-31,"He said even though the government has made significant progress in the health sector, more needed to be done to achieve universal health care to cater for those at the bottom of the Economic pyramid."
4,2023-01-31,"Speaking at State House Nairobi during a meeting with The Children’s Investment Fund Foundation, (TCIFF) chairman Sir Chris Hohn,  the President welcomed the support of development partners in education, child protection, healthcare, nutrition and climate change."
5,2023-01-31,"The President said the government is keen on implementing programmes that will uplift the underprivileged and vulnerable citizens in the society, especially children."
6,2023-01-31,"PRESIDENT RUTO: WE WILL PROTECT THE VULNERABLE. 

President @WilliamsRuto has called on development partners to complement government programmes aimed at transforming the lives of Kenyans."
7,2023-01-31,"""Kenyans will be able to access government services from anywhere, from their home or offices, without having to go unnecessarily to government offices and wait in long queues,"" he said. 

A paperless system is in line with President Ruto's climate change initiative."
8,2023-01-31,He said it will enhance service delivery by fostering efficiency and eliminating unnecessary bureaucracy in government.
9,2023-01-31,"The bold move is expected to significantly reduce the cost of printing and enhance security of Cabinet records. 

President Ruto said the digitisation of cabinet meetings was a clear signal that the Government was going digital."
10,2023-01-31,"In the Cabinet room, they found secured portable digital devices interconnected and attached to their files, memos and a secure notebook to assist them take notes in the meeting without leaving the devices."
11,2023-01-31,"Cabinet Secretaries arrived at State House, Nairobi, without the traditional bulky folders, large briefcases and huge files."
12,2023-01-31,"PRESIDENT RUTO CHAIRS FIRST PAPERLESS CABINET

President @WilliamsRuto on Tuesday chaired the first paperless Cabinet meeting, kicking off a major government digitisation drive."
13,2023-01-30,"Prime Cabinet Secretary @MusaliaMudavadi, National Assembly Speaker @HonWetangula, Deputy Chairperson of the National Council of Provinces in South Africa Sylvia Lucas and Secretary-General of the Commonwealth Parliamentary Association Stephen Twigg were present."
14,2023-01-30,“Let us work with what is actually possible. I count on your understanding and leadership to minimise non-essential expenditure.”
15,2023-01-30,"Appreciating the role that the Constituencies Development Fund play in transforming lives, the President said that the Treasury will stick to a disbursement schedule aligned to revenue projections and actual collections."
16,2023-01-30,“Let us resolve our issues within the Assembly. That is our platform.”
17,2023-01-30,He said it is time for the leadership of Parliament to take a stand and decisively discourage the prosecution of parliamentary business in courts.
18,2023-01-30,"“It also demonstrates failure of Parliament at the level of the institution, and the member concerned,” he said.

The President was addressing the @NAssemblyKE  Post-Election Seminar on Monday in Mombasa County."
19,2023-01-30,"He said how Members handle disagreement demonstrates their grasp of their parliamentary mandate.

The President noted that the emerging trend of litigating disagreements through the courts contradicts the essential purpose of parliamentary institutions."
20,2023-01-30,"He regretted that picketing, heckling and demonstrations were gaining currency in tackling disagreements.

“Parliament is not a place for holding other institutions at ransom. Its signature should be conversing with each other.”"
