,Date,Text
0,2023-01-30,"Prime Cabinet Secretary @MusaliaMudavadi, National Assembly Speaker @HonWetangula, Deputy Chairperson of the National Council of Provinces in South Africa Sylvia Lucas and Secretary-General of the Commonwealth Parliamentary Association Stephen Twigg were present."
1,2023-01-26,He explained that his Senegalese counterpart had committed to support the peace process in the Democratic Republic of Congo.
2,2023-01-26,"On his part, President Sall called on African countries to abolish visa requirements for Africans to ease the movement of people and factors of production.

President Ruto said Kenya and Senegal are exploring the possibility of a visa-free regime for citizens of the two countries"
3,2023-01-26,"President @WilliamsRuto and his Senegalese counterpart, President Macky Sall, said they will strive to take common positions on issues affecting the Continent.

The two leaders spoke on Thursday after holding talks at the Presidential Palace in Dakar."
4,2023-01-26,"KENYA, SENEGAL AGREE TO CHAMPION THE INTEGRATION OF AFRICA 

Kenya and Senegal have agreed to work together in championing for the integration of Africa."
5,2023-01-26,"The embassy, he added, will help ease services and be a link to the government of Senegal and the private sector."
6,2023-01-26,"The President noted that Africa will account for 25 per cent of the world population by 2050, a market Kenya must plan and strategise for.

Later, President Ruto met Kenyans living in Senegal."
7,2023-01-26,"At the same function, the President announced that Kenya will open an embassy in Rabat, Morocco, later in the year.

""We will continue to push the limits for our investors and businesspeople to access more markets in Africa,"" he said."
8,2023-01-26,"The Kenyan chancery in Senegal is the first in Francophone Africa and will serve the region. 

President Ruto was accompanied by Foreign Affairs Principal Secretary @SingoeiAKorir and Kenyan Ambassador to Senegal Purity Muhindi."
9,2023-01-26,"Speaking during the official opening of the Kenya Embassy in Dakar, Senegal, the President assured investors that the Government would support them to access investment opportunities across the continent."
10,2023-01-26,"KENYA AND MOZAMBIQUE HAVE AGREED TO BOOST TRADE AND AGRICULTURAL TIES

President @WilliamsRuto and President Filipe Nyusi of Mozambique said the two countries will prioritize agricultural value addition, especially in the tea, sugar and coffee sectors."
11,2023-01-26,"The commitment was made at a meeting between President @WilliamsRuto and the Zimbabwean leader, H.E @edmnangagwa, in Dakar, Senegal."
12,2023-01-26,"Kenya and Zimbabwe have committed to enhance diplomatic ties anchored on expansion of trade, agriculture and investment."
13,2023-01-25,"Senegal President said Macky Sall, the co-convener of the summit, said it was regrettable that Africa had become dependent on food imports despite its great agricultural potential. 

He called on African Governments and development partners to work together to reverse the trend."
