Date,Text,Label
4/20/2022,1/ CS Amb. Raychelle Omamo held a meeting with the Ambassador of the Sultanate of Oman H.E. Mr. Saleh Sulaiman Al-Harthi.  The meeting was a follow-up on the CS's recent visit to Oman where successful bilateral meetings were held.,Unrelated
4/20/2022,"1/  H.E. Meles Alem, Ambassador of the Federal Republic of Ethiopia to Kenya today paid a courtesy call on @ForeignOfficeKE  CS Amb. Raychelle Omamo.  Discussions focused on the strong relations between  Kenya and Ethiopia ....",Unrelated
4/19/2022,The Ambassador of Japan to Kenya H.E. Okaniwa Ken paid a courtesy call on PS @AmbMKamau . The two reviewed diplomatic ties and matters of mutual interest including the fourthcoming 2nd Japan-Africa Public-Private Economic Forum to be held in Nairobi on 3 May 2022. @JapaninKenya,Unrelated
4/19/2022,Ukrainian Ambassador to Kenya H.E. Andrii Pravednyk  today paid a courtesy call on PS @AmbMKamau . They discussed bilateral issues of mutual benefit to Kenya and Ukraine. @UKRinKEN,Unrelated
4/14/2022,"2/  Amb. Ahenda exemplified efficiency, dedication, loyalty and teamwork with colleagues.  During his tenure as Kenya's Ambassador to Qatar. He  performed his duties with dedication resulting in the warm bilateral relations which Kenya currently enjoys with Qatar.",Unrelated
4/14/2022,1/ CS Amb Raychelle Omamo led the Ministry in biding farewell to the Late Amb. Patrick Paddy Odero Ahenda who diligently served the country in various capacities including as MP for Kasipul Kabondo and as Kenya's Ambassador to Qatar from Feb 2019 until his demise on 4th Apr 2022,Unrelated
4/13/2022,"CS Amb. Raychelle Omamo held a press briefing on the visit by the Special Envoy from the Kingdom of Saudi Arabia H.E. Minister Ahmed Bin Abdulaziz Kattan, who delivered a good will message to H.E President Uhuru Kenyatta from King Salman Bin Abdulaziz Al Saud of Saudi Arabia.",Receive
4/11/2022,"The consultations,attended by Mozambique Foreign Affairs PS H.E Francisco Neto NOVELA and H.E Casimiro Augusto MUEIO, PS for National Defense are also informed by the need for integrating African efforts in order to create the necessary synergies for non-permanent #UNSC members.",Unrelated
4/11/2022,"Foreign Affairs P.S Amb. Macharia Kamau,today presided over the opening ceremony of the Kenya-Mozambique UN Security Council Consultations, in Nairobi. The catalyst for these talks is the upcoming two-year, non-permanent term of Mozambique to the UN Security Council,1st Jan 2023.",Unrelated
4/11/2022,"H.E. Tareque Muhammad, new High Commissioner of the People’s Republic of Bangladesh to Kenya today paid a courtesy call on Foreign Affairs C.S Amb Raychelle Omamo. CS welcomed him to Kenya and acknowledged the bonds of friendship and cooperation between the two countries.",Unrelated
