Date,Text
2022-04-20,2/ They discussed the outstanding issues and agreed to work towards the finalization of the pending agreements with a view to enhancing the long standing history and friendship between the two countries.
2022-04-20,1/ CS Amb. Raychelle Omamo held a meeting with the Ambassador of the Sultanate of Oman H.E. Mr. Saleh Sulaiman Al-Harthi.  The meeting was a follow-up on the CS's recent visit to Oman where successful bilateral meetings were held.
2022-04-20,2/... leading to expanding trade and bilateral relations between the two countries.  They took note of the peace and security challenges currently affecting the region and highlighted the importance of dialogue in restoring peace.
2022-04-20,"1/  H.E. Meles Alem, Ambassador of the Federal Republic of Ethiopia to Kenya today paid a courtesy call on @ForeignOfficeKE  CS Amb. Raychelle Omamo.  Discussions focused on the strong relations between  Kenya and Ethiopia ...."
2022-04-19,The Ambassador of Japan to Kenya H.E. Okaniwa Ken paid a courtesy call on PS @AmbMKamau . The two reviewed diplomatic ties and matters of mutual interest including the fourthcoming 2nd Japan-Africa Public-Private Economic Forum to be held in Nairobi on 3 May 2022. @JapaninKenya
2022-04-19,Ukrainian Ambassador to Kenya H.E. Andrii Pravednyk  today paid a courtesy call on PS @AmbMKamau . They discussed bilateral issues of mutual benefit to Kenya and Ukraine. @UKRinKEN
2022-04-18,"Road Safety Campaign :  Utafika Salama, Dere, just slow down.

Stick to your lane, keep left unless carefully overtaking.

#FatalSix
#UsalamaBarabarani #FikaSalama  #NTSA
@ntsa_kenya
@EUinKenya"
2022-04-16,"Road Safety Campaign: Kabla uaanze safari yako, funga mshipi.

Weka Simu Kando, then Drive.

 #FatalSix #UsalamaBarabarani #FikaSalama  #NTSA @ntsa_kenya @EUinKenya"
2022-04-15,#HappyEaster
2022-04-15,"Road Safety Campaign: During this Easter Weekend, drive safely.

Slow and sure! Usalama wako ni jukumu lako!  #FatalSix #UsalamaBarabarani #FikaSalama  #NTSA
@ntsa_kenya
@EUinKenya"
2022-04-14,"@ForeignOfficeKe supports the National Road Safety Campaign

Road users who engage in any one of these behaviours are more likely to be involved in a fatal crash
#FatalSix
#UsalamaBarabarani
#FikaSalama
#NTSA
@ntsa_kenya
@EUinKenya"
2022-04-14,"3/ ""The Ministry of Foreign Affairs has indeed lost a dedicated and dependable Ambassador who will be missed dearly by us in the Ministry and the Diplomatic fraternity as a whole"" - CS Omamo"
2022-04-14,"2/  Amb. Ahenda exemplified efficiency, dedication, loyalty and teamwork with colleagues.  During his tenure as Kenya's Ambassador to Qatar. He  performed his duties with dedication resulting in the warm bilateral relations which Kenya currently enjoys with Qatar."
2022-04-14,1/ CS Amb Raychelle Omamo led the Ministry in biding farewell to the Late Amb. Patrick Paddy Odero Ahenda who diligently served the country in various capacities including as MP for Kasipul Kabondo and as Kenya's Ambassador to Qatar from Feb 2019 until his demise on 4th Apr 2022
2022-04-13,"CS Amb. Raychelle Omamo held a press briefing on the visit by the Special Envoy from the Kingdom of Saudi Arabia H.E. Minister Ahmed Bin Abdulaziz Kattan, who delivered a good will message to H.E President Uhuru Kenyatta from King Salman Bin Abdulaziz Al Saud of Saudi Arabia."
2022-04-11,"The consultations,attended by Mozambique Foreign Affairs PS H.E Francisco Neto NOVELA and H.E Casimiro Augusto MUEIO, PS for National Defense are also informed by the need for integrating African efforts in order to create the necessary synergies for non-permanent #UNSC members."
2022-04-11,"Foreign Affairs P.S Amb. Macharia Kamau,today presided over the opening ceremony of the Kenya-Mozambique UN Security Council Consultations, in Nairobi. The catalyst for these talks is the upcoming two-year, non-permanent term of Mozambique to the UN Security Council,1st Jan 2023."
2022-04-11,"Amb Raychelle Omamo also congratulated the Republic of Korea on the successful 20th election held on March 9th, 2022 and expressed Government’s commitment to work closely with the new administration to advance the bilateral relationship between our two countries."
2022-04-11,"C.S Amb Raychelle Omamo today welcomed to Kenya H.E. YEO SUNG-JUN,the new Ambassador of the Republic of Korea. The CS noted the long standing ties and collaboration in Capacity building &amp; research, infrastructure, science &amp; technology, energy, education, health among others."
2022-04-11,"H.E. Tareque Muhammad, new High Commissioner of the People’s Republic of Bangladesh to Kenya today paid a courtesy call on Foreign Affairs C.S Amb Raychelle Omamo. CS welcomed him to Kenya and acknowledged the bonds of friendship and cooperation between the two countries."
2022-04-10,The body of the late Kenya’s envoy to the State of Qatar Ambassador Hon Paddy Ahenda has arrived in the country this morning. Foreign C.S Amb Raychelle Omamo together with the family received the body at #JKIA. Amb Ahenda died at a hospital in Qatar after being in ICU for a week.
2022-04-08,#Stockholm50
2022-04-08,"Group photo of EAC ministers with Heads of State: H.E Uhuru Kenyatta Chair of the EAC Summit, H.E Felix Tshisekedi, new member of EAC Heads of State Summit, H.E Yoweri Museveni and H.E Paul Kagame."
2022-04-08,The signing ceremony of DRC accession treaty was witnessed by H.E Yoweri Museveni President of Uganda and H.E Paul Kagame of Rwanda. The Heads of State and Government thereafter unveiled the new map of the East African Community.
2022-04-08,"H.E Felix Antoine Tshisekedi, President of the Democratic Republic of Congo (DRC) together with President Uhuru Kenyatta, Chair of the EAC Summit of Heads of State today signed the treaty of Accession by Democratic Republic of Congo to the East Africa Community (EAC)."
2022-04-08,President Yoweri K. Museveni of the Republic of Uganda arrives in Kenya to witness the signing ceremony of the treaty of Accession by Democratic Republic of Congo to the East Africa Community (EAC). H.E  Museveni was received at #JKIA by C.S Foreign Affairs Amb. Raychelle Omamo
2022-04-07,"During the visit President Tshisekedi together with President Uhuru Kenyatta, Chair of the EAC Summit of Heads of State will sign the treaty of accession by Democratic Republic of Congo to the East Africa Community (EAC) at Statehouse Nairobi on 8th April 2022.2/2"
2022-04-07,"H.E. Felix Antoine Tshisekedi, President of the Democratic Republic of Congo (DRC) has arrived Kenya for a two-day official visit. He was received by Foreign Affairs CS Amb Raychelle Omamo and CS ICT Joe Mucheru. H.E is accompanied by the First Lady of DRC. 1/2"
