0,1
2022-04-20,2/ They discussed the outstanding issues and agreed to work towards the finalization of the pending agreements with a view to enhancing the long standing history and friendship between the two countries.
2022-04-19,The Ambassador of Japan to Kenya H.E. Okaniwa Ken paid a courtesy call on PS @AmbMKamau . The two reviewed diplomatic ties and matters of mutual interest including the fourthcoming 2nd Japan-Africa Public-Private Economic Forum to be held in Nairobi on 3 May 2022. @JapaninKenya
2022-04-15,"Road Safety Campaign: During this Easter Weekend, drive safely.

Slow and sure! Usalama wako ni jukumu lako!  #FatalSix #UsalamaBarabarani #FikaSalama  #NTSA
@ntsa_kenya
@EUinKenya"
2022-04-11,"The consultations,attended by Mozambique Foreign Affairs PS H.E Francisco Neto NOVELA and H.E Casimiro Augusto MUEIO, PS for National Defense are also informed by the need for integrating African efforts in order to create the necessary synergies for non-permanent #UNSC members."
2022-04-11,"Foreign Affairs P.S Amb. Macharia Kamau,today presided over the opening ceremony of the Kenya-Mozambique UN Security Council Consultations, in Nairobi. The catalyst for these talks is the upcoming two-year, non-permanent term of Mozambique to the UN Security Council,1st Jan 2023."
2022-04-08,"Group photo of EAC ministers with Heads of State: H.E Uhuru Kenyatta Chair of the EAC Summit, H.E Felix Tshisekedi, new member of EAC Heads of State Summit, H.E Yoweri Museveni and H.E Paul Kagame."
2022-04-07,"C.S Amb.Raychelle Omamo met with H.E Christophe Lutundula, Deputy Prime Minister and Minister for Foreign Affairs of the Democratic Republic of Congo. The CS congratulated DRC for joining East Africa Community and promised Kenya's cooperation in Bilateral and Multilateral issues"
2022-04-04,"PS @AmbMKamau and Kenya's  Amb to Ireland Michael Mubea met with H.E Marta Lucía Ramírez, Vice President and Minister of Foreign Affairs of Colombia at the margins of #GDSdublin. They discussed ways of deepening ties between the two countries for the mutual benefit of the people."
2022-04-03,"PS Amb Macharia Kamau is in Dublin for the Global Diaspora Summit 2022 #GDSdublin
The PS, in the company of Amb. Michael Mubea hosted a working dinner with Kenyans living in Ireland in an effort to promote Diaspora engagement."
2022-03-27,"3/3  CS Omamo said that Africa needed to focus on development issues like job creation, healthcare and education in order to deal with structural issues that often lead to conflict on the continent. #DohaForum"
2022-03-17,The new mission in Jarkata is expected to bring consular services closer for all Kenyans resident in Indonesia and help the two countries to reinvigorate bilateral relations and add momentum in bilateral collaborations.
2022-03-17,2/3  CS Omamo underscored the significance of Kenya Vision 2030 and Omani Vision 2040 as economic blueprints of both countries which have placed food security as a top agenda.
2022-03-17,"1/2 CS Amb. Raychelle Omamo held a bilateral meeting with  H.E. Saeed bin Muhammad bin Ahmed al Saqri, Minister for Economy in Oman. Discussions focused on ways of reinvigorating friendship post Covid-19 by creating more trade awareness to Kenyan business community."
2022-03-13,1/3 CS Amb. Raychelle Omamo held bilateral talks with her Saudi Arabian counterpart His Highness Prince Faisal bin Farhan Al Saud in Riyadh today. Discussions focused on bilateral issues of mutual benefits between Kenya and Saudi Arabia.
2022-03-09,"@ForeignOfficeKE DG-Bilateral Amb Galma Boru represented the Ministry at the launch of Regional United Nations Office of Counterterrorism. Interior CS, Dr. Fred Matiangi said the region will benefit from targeted and cost -effective support in curbing violent extremist ideologies"
2022-03-08,"Others in the delegation were Ms. Annika Hilding NORBERG, Head of Peace Operations and Peacebuilding; Lt. Gen (Ret) Dr. Dennis GYLLENSPORRE, Associate Fellow at the @TheGCSP; and Ms. Natascha HRYCKOW also an Associate Fellow at the @TheGCSP"
2022-03-07,The Kenya- Zimbabwe Joint Permanent Commission of Cooperation (JPCC) Senior Officials Meeting (SOM) has come to a close this evening with 7 instruments of cooperation concluded and recommended for adoption during the Ministerial segment scheduled for tomorrow.
2022-03-06,"Amb Tabu Irina and her Embassy staff in Japan, hosted at the Mission, Team Kenya led by Eliud Kipchoge and Brigid Kosgei to celebrated their win and appreciated their teamwork. The event was attended by the chairman of the Kenyan’s in Japan Association."
2022-03-05,The JPCC aims at strengthening further the existing bilateral relations and increasing  opportunities for cooperation between the two countries. The Senior officials session co- chaired with Zimbabwe will discus and consider twelve (12) instruments of cooperation.
2022-03-04,"CS for Sports, Heritage and Culture Amb. Amina Mohamed together with PS Ministry of Environment and Forestry Dr. Chris Kiptoo flagged a UNEP run in Karura forest-themed 'UNEP@50 Years Anniversary 10KM commemorative run'.Renowned athletes joined in the race.
 #ClimateAction"
2022-02-27,"CS Ministry of Environment and Forestry, Mr. Keriako Tobiko led UNEP officials, and diplomats from different parts of the World who are in the Country to attend #UNEA5.2 #UNEP@50, in a tree planting activity at City Park Nairobi."
2022-02-27,"Kenya to host #UNEA5 from February 28 to March 2, 2022, and #UNEPat50 celebrations on March 3rd and 4th, 2022.
#ACTFORNATURE"
2022-02-26,#UNEP50 #ActForNature #UNEA5
2022-02-22,2/ The theme of UNEA-5 “Strengthening Actions for Nature to Achieve the Sustainable Development Goals” provides a platform for urgent dialogue and decisive action in light of the interdependence of the environment and the SDGs. @Environment_Ke @KenyaMissionUN @UNEP
2022-02-21,The Cabinet Secretary @ForeignOfficeKE Amb Raychelle Omamo held bilateral meeting with the Ukrainian Foreign Minister @DmytroKuleba on the sidelines of the Munich Security Conference #MSC2022
2022-02-19,"Foreign Affairs Cabinet Secretary Amb Raychelle Omamo and Valdis Dombrovskis, Executive Vice-President of the European Commission in charge of an Economy that works for People, and Commissioner for Trade, sign Kenya- EU Joint Statement #EUAUSummit"
2022-02-11,AMB Isaiya Kabira attended and made remarks at the closing ceremony of a workshop on finalization of Asset Acquisition and Management Plan by the Global Assets Department at Foreign Affairs.
2022-02-08,"Guest speakers during the signature  AUPSC events on urbanization, Women Peace and Security were Bineta Diop (Special Envoy of AU Chair on WPC), Maimunah Mohd Sharif (Executive Director, UN Habitat) and Mabingue Ngom (Senior Advisor to Executive Director, UNFPA)."
2022-02-04,"Amb Raychelle Omamo today on the sidelines of the AU Summit, deposited Kenya's instrument of accession to the African Charter on Elections, Governance and Democracy (ACDEG)."
2022-02-04,"@ForeignOfficeKE PS @AmbMKamau is in Washington DC to among other issues to follow up on pending renovation works at the Chancery. He urged that the work be finalised as soon as possible.
The PS also held an administrative meeting with Amb. Lazarus Amayo, and DC embassy staff."
2022-02-03,The Mandela cow which H.E Uhuru Kenyatta handed to H.E President Evariste Ndayishimiye of Burundi in Kisumu on 31st May 2021 has finally arrived in Burundi together with 50 high-yielding dairy heifers. CS Peter Munya delivered the President's donation to the Gov't of Burundi.
2022-02-02,The AU summit will among other issues deliberate on the elections of the 15 members of Peace and Security Council and a female Vice President of Pan-African University.
2022-02-02,Principal Secretary Ambassador Macharia Kamau today visited Kenya Permanent Mission in New York where he inspected the ongoing Chancery renovation.He noted that renovations work were  progressing on well and is expected to be finalised in the next few months.
2022-01-31,"The Government of Kenya with Executive Secretary of ICGLR has today signed the Host Country Agreement for the establishment of the ICGLR Regional Youth Forum Secretariat. Present were Amb Joseph Vungo, Legal and EAC Amb Nyambura Kamau."
2022-01-31,"H.E Mr. Firas Khouri, the ambassador of  Jordan to Kenya paid a courtesy call on Foreign Affairs Cabinet Secretary Amb. Raychelle Omamo. The talks focused on areas of mutual interest including issues trade, investment, livestock, health."
2022-01-31,"CS Amb Raychelle Omamo held talks with H.E.Amb Silvio José Albuquerque of Brazil. CS Omamo thanked Government of the Republic of Brazil for the continued support in health, education and agriculture. Kenya and Brazil enjoy bilateral and multilateral ties based on shared values."
2022-01-28,European Union High Representative for Foreign Affairs and Security Policy &amp; Vice President of the European Commission H.E Josep Borrell Fontelles is in Kenya. He was last evening received at #JKIA by Foreign Affairs CAS Hon @AbabuNamwamba.
2022-01-27,"PS @AmbMKamau  held bilateral discussions with Amb. Robert Fairweather, UK Special Envoy to Sudan and South Sudan and Dr. Endre Stiansen, Norwegian Special Envoy to Sudan and South Sudan. Discussions focused on peace and security in the Horn of Africa."
2022-01-27,"CS Amb. Raychelle Omamo held a virtual meeting with Amb. James Swan, Special Representative of the Secretary-General for Somalia and Head of the UNSOM. They exchanged on a wide range of issues including the security and humanitarian situation in Somalia."
2022-01-26,"Foreign Affairs P.S Amb.Macharia Kamau held talks with H.E. Muhammad Shahrul Ikram Yaakob,Secretary-General, Ministry of Foreign Affairs of Malaysia.The two discussed trade and development, education, tourism and culture as areas to further enhance ties between Kenya and Malaysia"
2022-01-21,"Responding to the media on regional  peace Amb Omamo said Ethiopia remains a brotherly nation, while Kenya believes that the situation can be resolved if both sides show commitment on the need for a national dialogue, cessation of hostilities and support to humanitarian aid."
2022-01-20,Hungary President H.E János Áder has today left the country after a four day State Visit. He was seen off at #JKIA by Cabinet Secretary for ICT Joseph Mucheru and PS Ministry of Foreign Affairs @AmbMKamau and other ministry officials.
2022-01-18,"Foreign Affairs CS Amb. Raychelle Omamo and  Christophe Lutundula, Minister of Foreign Affairs of the Democratic also discussed the need to work together within the African Union in order to build consensus on difficult issues."
2022-01-12,"2/  The complex has been completed and is awaiting furnishing and equipping for occupation. It will offer residential training, research, consultancy among others. It is designed to offer modern facilities for public service capacity development."
2022-01-12,1/3 @AmbMKamau together with his counterparts visited the Technical University of Mombasa and inspected  the construction of a four story building that will host the School of Medicine. This will be the first School of Medicine in Coast Region.
2022-01-11,"1/3  The team then inspected the Moi International Airport access roads sections particularly the Port Reitz road which is the only way to access the Airport and links the second container terminal at the Mombasa Port to the Northern Corridor, East and Central Africa. @AmbMKamau"
2022-01-11,"2/2  The projects aims at  developing the traffic route to Mombasa South Coast towards Tanzania, alleviate congestion and facilitate the logistics from the new container terminal through development of the Kipevu Link Road and Mombasa Southern Bypass (Dongo Kundu Bypass)"
2022-01-05,3/3 The visit gives the two countries an opportunity to enhance bilateral relations by signing Agreements and further cement the Comprehensive Strategic Cooperation Partnership between Kenya and China.
2021-12-24,"Seasons greetings from the desk of Ambassador Raychelle Omamo, Cabinet Secretary Ministry of Foreign Affairs."
2021-12-22,"Amb Anthony Muchiri, today before Chief Justice Martha Koome, took the oath of affirmation before assuming the duties as the Chairperson of the Public Service Commission."
2021-12-10,Well done Kenya on your re-election to the @IMOHQ Council under category C
2021-12-08,"Foreign Affairs PS Amb. Macharia Kamau today met with Dr. Alex Vines, of Chatham House who paid a courtesy call. They discussed UK-Africa relations and the role of foreign policy in political transitioning."
2021-12-06,"H.E Peter Maddens, Kingdom of Belgium Amb. to Kenya paid a courtesy call on C.S Amb. Raychelle Omamo. The meeting reflected on Kenya-Belgium partnerships and the opportunities to reassert the long-lasting bilateral relations, founded on shared values and similar aspirations."
2021-12-06,"Mr. Yusuf Yunusa, High Commissioner of the Federal Republic of Nigeria paid a courtesy call on Foreign Affairs Cabinet Secretary Amb. Raychelle Omamo. The two discussed bilateral relations and deliberated on more areas of cooperation between Kenya and Nigeria."
2021-12-02,"CS Amb Raychelle Omamo chaired the 59th Meeting of the Commonwealth Ministerial Action Group via video conference. The meeting was attended by Ministers &amp; Representatives of Australia, Barbados, Ghana, Kenya, Malaysia, Namibia, Samoa, UK &amp; Commonwealth SG Rt Hon Patricia Scotland"
2021-11-29,"@AmbMKamau ""What the world needs now is the building of capacity to deal with the realities of COVID-19. Knee jerk reactions targeting specific Nations is not the answer to a disease that will mutate with time..."
2021-11-27,2/2 This was no mean achievement considering the number of departments with legal teams in government and public sector!  At the global level much of the success was correlated with MFA work in the various treaties and conferences on environment and climate change.
2021-11-25,"Daniel Endres, newly appointed Assistant Secretary General and Regional Humanitarian Coordinator for East Africa paid a courtesy call on  @ForeignOfficeKE  PS @AmbMKamau today.  Discussions focused on  humanitarian cooperation and peace and security in the region."
2021-11-23,"@ForeignOfficeKE  PS @AmbMKamau today held a meeting with @LuisaFragoso2, Head of Mission Portugal Embassy in Nairobi. Discussions focused on various collaborative engagements including upcoming UNOC to be cohosted by Kenya and Portugal, UNEAB5.2 and the UNEP@50 commemoration."
2021-11-23,"H.E Amb. Choi Yeonghan
Korean Ambassador to Kenya made a farewell call on PS @AmbMKamau following his end of tour of duty in Kenya
The PS commended the Ambassador for a successful tour of duty and appreciated the robust bilateral &amp; multilateral relations btwn the two countries"
2021-11-23,CS Amb Raychelle Omamo this morning accompanied H.E President Uhuru Kenyatta at the Union Buildings for bilateral talks and signing of MOUs between Kenya and South Africa. President Uhuru is on a State Visit at the invitation of H.E President Cyril Ramaphosa.
2021-11-21,The CS was accompanied by  her Mozambican  counterpart H.E. Veronica Nataniel Macamo Dlhovo
2021-11-21,"CS Amb Raychelle Omamo officially inaugurated the Kenya High Commission Chancery Building in Maputo. The inauguration officially marks the establishment of the Kenya High Commission in Mozambique, an important step in the deepening of the ties between the two countries."
2021-11-18,"US Secretary of State Antony Blinken has left the country today for his next leg of visits to Nigeria and Senegal. Blinken was seen off at the #JKIA by Foreign Affairs PS @AmbMKamau, the Kenya's Amb to US, Amb Lazarus Amayo,&amp; officials from @ForeignOfficeKE and @USEmbassyKenya."
2021-11-18,"Foreign Affairs PS Amb. Macharia Kamau today met with Mr. Pirkka Tapiola, the Ambassador of Finland to Kenya. The two discussed bilateral and multilateral issues between the two countries."
2021-11-17,"Addresing the media on Multilateral and Regional Issues, Kenya and the United States pledged to work closely on the UN Security Council and in other regional and multilateral institutions to address sources of regional instability in the Horn of Africa and elsewhere.1/2"
2021-11-17,"The five pillars to which Kenya and U.S will deepen cooperation includes:
1. Economic Prosperity, Trade, and Investment
2. Defense Cooperation
3. Democracy, Governance, and Civilian Security
4. Multilateral and Regional Issues and
5. Health Cooperation."
2021-11-08,"Ambassador of Argentina to Kenya, H.E. Martín Gòmez Bustillo today bid farewell to @ForeignOfficeKE Cabinet Secretary Amb. Raychelle Omamo. CS thanked the Amb for enhancing bilateral and multilateral ties between Kenya and Argentina and wished him well in his next assignment."
2021-11-05,"Principal Secretary Amb Macharia Kamau today bid farewell to outgoing Ambassador of the Republic of Phillipines to Kenya Ambassador Alex G. Chua, whose tour of duty has ended. The PS wished him well in his future assignments."
2021-11-04,"The hybrid event was held on the margins of COP26 in Glasgow, on 2nd November at the German Pavilion and was moderated by Ambassador Wolfgang Ischinger, Chairman of the Munich Security Conference.@COP26"
2021-11-04,CS Amb.Raychelle Omamo participated as a panellist in the Agriculture Innovation Mission for Climate Initiative and Innovation that discussed the critical role of technology innovation in achieving a net-zero climate-resilient economy and  unprecedented economic opportunities.
2021-11-01,"Defense CS Hon. Eugene Wamalwa led Kenya's delegation at the 12th AU H-L retreat on Peace, Security and Stability. Amb. Galma Boru, director-general for Bilateral and Political Affairs and Amb. George Orina, Director Africa and AU represented ministry of Foreign Affairs."
2021-11-01,"Cabinet Secretary Amb Raychelle Omamo consulting with Vicky Ford, UK Minister for Africa at the start of the UN Climate Change Conference  #COP26 in #Glasgow"
2021-10-30,Cabinet Secretary Amb Raychelle Omamo today visited Korean Embassy to sign condolence book on the passing on of the former President of the Republic of Korea President Roh Tae-Woo.
2021-10-28,"PS, Amb. Macharia Kamau, during his meeting with Kenya Consulate team in Los Angeles led by Consul General Amb. Njeri Njiiri he impressed upon them to work hard in extending Consular Services to Kenyans in the region while promoting Kenya's Commercial and Trade interests."
2021-10-28,Kenya Consulate in Los Angeles now has capacity to process and issue passport to kenyans in the US. PS Amb Macharia Kamau who is on a visit to inspect projects in US had the opportunity to hand over the first batch of Passports processed at the Kenyan Consulate at Los Angeles.
2021-10-27,"Foreign Affairs CS Amb Raychelle Omamo today attended the official opening of the IGAD Climate Prediction and Application Centre (ICPAC) in Ngong, Nairobi. The Centre is a designated regional Climate center by WMO to provide climate services and early warnings to 11 EA countries"
2021-10-27,#KenyaUNSCPresidency
2021-10-27,#KenyaUNSCPresidency
2021-10-27,#KenyaUNSCPresidency
2021-10-26,"Amb. Gathogo W. Chege, Director, Liaison Parliamentary and County Affairs on behalf of CS Amb.Raychelle Omamo made the opening remarks. The training is attended by officials from different Counties: of Kisumu, Siaya, Homabay, Kisii, Migori and Nyamira,and from different MDAs."
