Text,Category
"H.E Sahle-work Zewde, President of the Federal Democratic Republic of Ethiopia has arrived in Kenya for a one-day official visit where she will hold talks with H.E President Uhuru Kenyatta. H.E was received at the #JKIA by Foreign Affairs Cabinet Secretary Amb Raychelle Omamo.",RECEIVE
"@AMB_A_Mohammed @WilliamsRuto Meeting attended by H.E. Victor Bockarie Foh, VP of Sierra Leone is jointly convened by Global Partnership for Sustainable Development Data.",UNRELATED
New era as President uses ID to travel to Uganda,UNRELATED
"Ag. PDS &amp; Director Europe Amb. Lazarus Amayo today met Pavel Revac, Michal Mincev &amp; Jaroslav Mandys of Czech Republic",UNRELATED
"PS @AmbMKamau also met with Hideo Suzuki, Assistant Minister and Director General for International Cooperation, Ministry of Foreign Affairs Japan. The PS took time to explain Kenya's 10 Points Agenda for the #UNSC2021.",UNRELATED
"President @UKenyatta and President Filipe Nyusi witness the signing of two memoranda on Political Consultations, and  Trade and Investment between Kenya and Mozambique",UNRELATED
CS @AMB_A_Mohammed: Following proceedings during the accession of the Republic of Kazakhstan to the WTO,UNRELATED
"CS @Amb_A_Mohammed receives H.E Dr. Walter-frank Steinmeier,Minister for Foreign Affairs of Germany @ Ministry HQs",RECEIVE
@AMB_A_Mohammed Iran is a major importer of Kenya's tea; vast potential however remains untapped in the sector. 7/7,UNRELATED
"Foreign Affairs PS @AmbMKamau today paid a courtesy call to the Secretary of State for Foreign Affairs, Mr. Francisco Andre, during his official visit to Portugal ahead of the proposed state visit on the margins of #UNOC.",UNRELATED
CS@AMB_A_Mohammed: The reform of the UN will be the subject of meeting with Russian Foreign Minister due tomorrow,UNRELATED
"Principal Secretary Macharia Kamau today briefed a group of Middle East Ambassadors led by H.E Saleh Sulaiman Al Harthi, Ambassador of the Sultanate of Oman on the upcoming Sustainable Blue Economy Conference to be held on 26-28 November 2018 #BlueEconomyConference",UNRELATED
South Sudan talks resume ,UNRELATED
Government of Seychelles led by H.E President Danny Faure held a side event on Blue Economy Sustainable Development in Seychelles “Charting the future” in Nairobi #BlueEconomyKE @ForeignOfficeKE @FishOceansCAN @JapanGov @UNDPKenya @WWF_Kenya @uonbi,UNRELATED
"All of us must sustain engagement with #SouthSudanese leaders to ensure peace agreement is implemented, urges CS @AMB_A_Mohammed",UNRELATED
@Karanjakibicho: With Secretary General of the Ministry of Foreign Affairs of Algeria Mr. Abdelhamid Senouci Berkisi.,RECEIVE
CS @AMB_A_Mohammed &amp; S. Sudan FM Hon.Deng Alor Kuol offered condolences to the families of the aid workers killed in South Sudan on Saturday,UNRELATED
