Text,Category
"CS @ Amb_A_Mohammed presents letter of credence to Mr. Bilak Asif, Kenya's New Honorary Consul in Jakarta, Indonesia.",UNRELATED
#UNCTAD14 President CS @AMB_A_Mohammed holds bilateral with  Czech Republic delegation to #UNCTAD14 Nairobi,RECEIVE
"Japan, China battle for influence good for Kenya - Amina",UNRELATED
"@twittinibra: Otieno in Egypt, Wafula in Ireland...",UNRELATED
"Kenya, Nigeria bilateral trade relations is the way to go
The Nigerian delegation that visited Kenya last week...",UNRELATED
"Kenya, Uganda Agree on Joint Ministerial Commission
Kenya and have agreed to establish a Joint Ministerial...",UNRELATED
"CS @AMB_A_Mohammed: With PS Monica Juma at Jomo Kenyatta International Airport, Nairobi, receiving Ugandan President H.E. Yoweri Kaguta Museveni on arrival for one-day official visit.",RECEIVE
Foreign Affairs CAS @AbabuNamwamba earlier today at JKIA received Islamic Republic of Iran Vice President for Science and Technology H.E Dr. Sorena Sattari who is in Kenya on a three day visit. Dr Sorena is also leading a business delegation to Kenya.,RECEIVE
CS @AMB_A_Mohammed: Kenya stands in solidarity with Germany in denoucing &amp; combating senseless &amp; indefensible acts of violence,UNRELATED
"H.E @UKenyatta receives credentials from the incoming Turkey Ambassador to Kenya Ms Deniz Eke at State House, Nairobi",UNRELATED
"Jordan's King Abdullah II arrives tomorrow for talks with President Kenyatta; South Africa's Jacob Zuma to visit on October 11, 2016.",RECEIVE
"CS Monica Juma: I join South Africa and the women fraternity in mourning the loss of a trail blazer for women in leadership in Africa, a freedom fighter, a indominatible campaigner for social justice;...",UNRELATED
"Foreign Affairs CAS @AbabuNamwamba  is in Addis Ababa Ethiopia for the 47th Session of the IGAD Council of Ministers meeting, to adopt a new Treaty for IGAD and review institutional structures to make it more responsive to regional challenges.",AWAY
"CS Monica Juma and visiting Foreign Minister of Sweden H.E Margot Wallström addressed the media on Kenya- Sweden bilateral relations, regional political developments, climate change, and women, peace and security issues @ForeignOfficeKE",RECEIVE
@AMB_A_Mohammed: This is the largest contingent of Japanese businessmen to visit the Kenya. #KenyaJapan,RECEIVE
"Cabinet Secretary Amb. #MonicaJuma held bilateral meeting with her counterpart H.E. Manuel Augusto, Minister for External Relations in Luanda, Angola.",AWAY
"H.E @UKenyatta Special Envoy, CS Sicily Kariuki, meets Guinean President Alpha Condé to present message on Kenya's candidature for AUC.",AWAY
"Abbas, Kenya's new Ambasador to Kuwait, met Al Sabah who is also the Minister of Foreign Affairs on Sunday December 7, 2014.",AWAY
The special Summit has been convened by EAC Chairman @jmkikwete to seek an amicable solution to the Burundi crisis,UNRELATED
"Political &amp;Diplomatic Secretary, Amb. Tom Amollo held a meeting with H.E Dr. Mohammed A. Khayat, Ambassador of the Kingdom of Saudi Arabia to Kenya, who paid a courtesy call on him.They discussed bilateral issues between the two countries.",UNRELATED
Kenya Ambassador to Japan Amb.Solomon Maina at the dinner hosted for the visiting Japanese business delegation,RECEIVE
Hon @AbabuNamwamba and Ambassador Trott underscored the importance of continued partnership between the Intergovernmental Authority on Development  (IGAD) and UK in support of the South Sudan Peace Process,UNRELATED
"CAS Hon @AbabuNamwamba  held bilateral talks with Terens- Nikolai's Quick, Deputy Foreign Minister of Greece. They discussed a range of issues varying from investment promotion activities, increased multilateral collaboration and support for the Big 4 Agenda.",AWAY
"The A3 refers to the bloc of the three (3) African members of the UN Security Council, where Niger, Kenya and Tunisia are its current members, with the plus 1 incorporating the additional member of the Caribbean region, presently Saint Vincent and the Grenadines.",UNRELATED
"PS @AmbMKamau participated in the #UN Oceans Advisory Committee meeting held at the Permanent Mission of Portugal to the UN, New York. The meeting deliberated on reinvigorating the preparatory process of Oceans Conference scheduled for June 2022 in  Portugal. Kenya will co-host",AWAY
President Kenyatta received by Equatorial Guinea President Teodoro Nguema Mbasogo at Malabo International Airport.,AWAY
CS @AMB_A_Mohammed:Kenya-Egypt enjoy excellent bilateral relations &amp; the JCC is a key driver of this special r/ship,UNRELATED
"CS Amb Raychelle Omamo officially inaugurated the Kenya High Commission Chancery Building in Maputo. The inauguration officially marks the establishment of the Kenya High Commission in Mozambique, an important step in the deepening of the ties between the two countries.",AWAY
"CS @AMB_A_Mohammed: Held talks with Vicky Pantazopoulou-Honorary Consul,consulate of Kenya in Athens,Greece. Present was Amb  @amolosango",AWAY
"CS @AMB_A_Mohammed and PS Monica Juma, welcoming H.E. Workneh Gebeyehu, Ethiopia Foreign Minister who is on a 2-day official visit to Kenya",RECEIVE
"CAS @AbabuNamwamba consults with his Sudanese counterpart H.E Omer Gamareldien, State Minister for Foreign Affairs of the Republic of Sudan, and Ethiopia's Workneh Gebeyehu Negewo, the Executive Secretary of IGAD, at the EU-IGAD Ministerial consultative meeting in Khartoum today.",AWAY
@rsezibera: The agenda is to consider report by  eminent persons and report of AGs on the issue of Burundi,UNRELATED
