0,1
2022-04-08,The signing ceremony of DRC accession treaty was witnessed by H.E Yoweri Museveni President of Uganda and H.E Paul Kagame of Rwanda. The Heads of State and Government thereafter unveiled the new map of the East African Community.
2022-04-05,"2/ Discussions focused on the preparedness of the @StockholmPlus50 Int'l Meeting scheduled for 2 to 3 June 2022 in Sweden to be co-hosted by Kenya and Sweden.
Amb. Diana Kiambuthi Kenya's Ambassador to Sweden and Amb. Isaiya Kabira Director General MFA were in attendance. @UNEP"
2022-03-24,"Kenya and Portugal will host the 2022 United Nations Conference scheduled for 27 June to 1 July 2022.

The #UNOC will bring together all stakeholders to discuss Ocean-based solutions and restore the ocean's health
#SaveOurOceans"
2022-03-17,"1/2 CS Amb. Raychelle Omamo held a bilateral meeting with  H.E. Saeed bin Muhammad bin Ahmed al Saqri, Minister for Economy in Oman. Discussions focused on ways of reinvigorating friendship post Covid-19 by creating more trade awareness to Kenyan business community."
2022-03-13,2/3 The two Ministers signed a Memorandum of Understanding between the Ministry of Foreign Affairs of the Republic of Kenya and the Ministry of Foreign Affairs of the Kingdom of Saudi Arabia on Political Consultations aimed at strengthening the existing friendly relations.
2022-03-10,Foreign Affairs C.S Amb. Raychelle Omamo has this afternoon bid farewell to the visiting Zimbabwe President H.E President  Emmerson Mnangagwa at #JKIA after a three- day State Visit to Kenya. Escort of honor CS Eugene Wamalwa and Amb George Orina Director Africa were present.
2022-03-09,2/2  In attendance were Kenya's Ambassador to Saudi Arabia Amb. Peter N. R. O. Ogego and Saudi Arabia Ambassador to Kenya Amb. Khalid bin Abdullah Al-Salman
2022-03-07,The Kenya- Zimbabwe Joint Permanent Commission of Cooperation (JPCC) Senior Officials Meeting (SOM) has come to a close this evening with 7 instruments of cooperation concluded and recommended for adoption during the Ministerial segment scheduled for tomorrow.
2022-03-07,"Foreign Affairs CS Amb. Raychelle Omamo today met with  Hon. Fredrick M. Shava, Minister of Foreign Affairs and International Trade of the Republic of Zimbabwe.  The two leaders discussed ways of strengthening bilateral relations and identified areas of further cooperation."
2022-03-02,"CS Amb. Raychelle Omamo today joined MFA staff, family and friends for a memorial service of the Late Amb. Wilfred Machage, who until his demise, was Kenya's High Commissioner to Nigeria. The C.S eulogized Hon Machage as an amiable leader and a consummate diplomat."
2022-02-25,"CS Amb Raychelle Omamo was at #JKIA to condole with Mrs Machage and family on the loss of the late Hon Winfred Machage. The late Machage body arrived from Abuja, Nigeria where he served as Kenya's Ambassador."
2022-02-03,The Mandela cow which H.E Uhuru Kenyatta handed to H.E President Evariste Ndayishimiye of Burundi in Kisumu on 31st May 2021 has finally arrived in Burundi together with 50 high-yielding dairy heifers. CS Peter Munya delivered the President's donation to the Gov't of Burundi.
2022-01-31,"H.E Amb Dragos Viorel Radu Tigau, of Romania today, paid a courtesy call on CS Amb. Raychelle Omamo. The two leaders reassert the long held bilateral relations between the two countries that is founded on shared values and similar aspirations to better the lives of their peoples."
2022-01-31,"H.E Amb. Juan Manuel Rodriguez Vazquez, Cuban Ambassador to Kenya paid a courtesy call on Foreign Affairs C.S Amb. Raychelle Omamo. They discussed ways to enhance bilateral cooperation in the fields of sports, health, agriculture among others."
2022-01-26,"Foreign Affairs P.S Amb.Macharia Kamau held talks with H.E. Muhammad Shahrul Ikram Yaakob,Secretary-General, Ministry of Foreign Affairs of Malaysia.The two discussed trade and development, education, tourism and culture as areas to further enhance ties between Kenya and Malaysia"
2022-01-20,"Member states in the C-10 include: Senegal, Uganda, Algeria, Kenya, Zambia, Sierra Leone, Congo, Libya, Namibia and Equatorial Guinea."
2022-01-20,Hungary President H.E János Áder has today left the country after a four day State Visit. He was seen off at #JKIA by Cabinet Secretary for ICT Joseph Mucheru and PS Ministry of Foreign Affairs @AmbMKamau and other ministry officials.
2022-01-06,"6.Protocol on Inspection  Quarantine and Veterinary Sanitary Requirements for Wild Fished Aquatic Products exported from Kenya to China between Min. of Agriculture Livestock, Fisheries &amp; Cooperatives of Kenya and General Administration of Customs of the People’s Republic of China"
2022-01-06,4/4 “Kenya lauds China’s contribution to the global development Agenda and is pleased with the ongoing cooperation between the two countries at the UNSC and support to the AU in the implementation of Peace and Security mandate” – CS Omamo
2021-12-15,"C.S Amb. Raychelle Omamo on 6th December, met with H.E Amb. Khalid Abdullah Alsalman, the ambassador of the Kingdom of Saudi Arabia. The two agreed on continued bilateral cooperation in the fields of road infrastructure, health and sewerage projects."
2021-12-07,"FOREIGN Affairs Director General,  Bilateral and Political office Amb Galma Boru last evening joined Health C.S, Hon Mutahi Kagwe in receiving 4.3 million J&amp;J vaccines donated by the German government and 300,000 AstraZeneca donated by the government of Argentina at JKIA Nairobi."
2021-11-21,"CS Amb Raychelle Omamo held bilateral talks with H.E. Veronica Nataniel Macamo Dlhovo, Foreign Minister of Mozambique. They discussed the need to strengthen bilateral relations btwn Kenya and Mozambique through people to people exchanges and the advancement of trade &amp; investment."
2021-11-21,"CS Amb Raychelle Omamo officially inaugurated the Kenya High Commission Chancery Building in Maputo. The inauguration officially marks the establishment of the Kenya High Commission in Mozambique, an important step in the deepening of the ties between the two countries."
2021-11-17,"The US Secretary of State Antony Blinken will tomorrow visit #UNEP before departure that will take him to Nigeria. Today, Blinken attended a conservation and climate change event and tree planting at Karura Forest, and the 7th August Memorial Park."
2021-10-27,"3/ He reaffirmed Kenya's solidarity with the people of Syria in their quest for lasting peace through a Syrian-led and Syrian-owned political dialogue.
#KenyaUNSCPresidency"
2021-10-27,"2/ @AmbMKimani called on the international community and partners to ensure humanitarian assistance including equitable distribution of covid-19 vaccines to all people in Syria.
#KenyaUNSCPresidency"
2021-10-16,3/3 The special event aimed at advancing some of the commitments made during the SBEC 2018 and focus increased attention towards the 2022 UN Oceans Conference to be co-hosted by Kenya and Portugal.
2021-10-15,"PS @AmbMKamau participated in the #UN Oceans Advisory Committee meeting held at the Permanent Mission of Portugal to the UN, New York. The meeting deliberated on reinvigorating the preparatory process of Oceans Conference scheduled for June 2022 in  Portugal. Kenya will co-host"
2021-10-14,"@AmbMKamau today @KenyaMissionUN New York held a stakeholders briefing on preparedness for UNEP@50 &amp;  Stockholm+50 meetings scheduled for March 2022 in Nairobi &amp; June 2022 in Stockholm respectively, co-hosted by Kenya &amp; Sweden. PR Sweden @AkEnestrom &amp; UNASG Ligia Noronha attended"
2021-10-14,"3/3   They echoed the Secretary General's call for the warring parties to ensure women, youth, indigenous and afro-Colombian former combatants participate in decision making processes and reiterated full support for the Colombian peace process.
#KenyainUNSC"
2021-10-11,"CS Amb. Raychelle Omamo held a telephone conversation with H.E Wang Yi Minister of Foreign Affairs of the People's Republic of China.  Discussions focused on strengthening bilateral cooperation in  trade, infrastructure, capacity building, education..."
2021-10-09,"At the occasion attended by Hon. John Mulimba, Uganda's Minister of State for Regional Cooperation, CAS lauded the excellent relations between 🇰🇪 &amp; 🇺🇬 founded on historical linkages, strong bonds of friendships, shared values, and common aspirations for socio-economic prosperity."
2021-10-09,CAS Hon @AbabuNamwamba  represented the Government and people of Kenya during a ceremony to mark the 59th Anniversary of the Independence of the Republic of Uganda under the theme “Securing Uganda’s Future through Promotion of Tourism and Education for Economic Development.”
2021-10-08,"1/4 PS @ForeignOfficeKE @AmbMKamau today at a Press Briefing highlighted
Kenya’s position ahead of the judgment by the ICJ in the case concerning maritime dispute with Somalia."
2021-10-06,"Mr. Anthony Branker, President of Barbados Chamber of Commerce and Industry and Mr. Richard Ngatia, President of the Kenya National Chamber of Commerce signed MOU that will see cooperation and promotion of trade and investment between Kenya and Barbados."
2021-10-01,The UNESCO Group of Friends of Ukraine met with Foreign Affairs Chief Administrative Secretary Hon. @AbabuNamwamba as they presented the démarche on the enclosed resolution on the situation in the Autonomous Republic of Ukraine.
2021-09-24,Amb Raychelle Omamo Cabinet Secretary for @ForeignOfficeKE  held bilateral talks with Mr. Augusto Santos Silva Foreign Minister of Portugal on the sidelines of #UNGA76 in New York.
2021-09-16,"Eritrea Ambassador to Kenya and Dean of African Diplomatic Corps H.E Beyene Russom on Wednesday, 15th September paid a courtesy call on PS @ForeignOfficeKE Amb Macharia Kamau in his office."
2021-09-12,"Her Excellency Kersti Kaljulaid, President of the Republic of Estonia left the country on Saturday night after a successful visit to Kenya. @KerstiKaljulaid was seen off #JKIA by Foreign Affairs CS Amb Raychelle Omamo and, CS Defense Amb Monica Juma, her Escort of honour."
2021-09-11,"H.E Kersti Kaljulaid, President of the Republic of Estonia this morning run a 10KM Marathon at the Karura Forest. She was accompanied by Kenyan marathoners including Douglas Wakiihuri,Tegla Loroupe, and Catherine Ndereba. The race was flagged off by Sports CS Amb Amina Mohamed."
2021-09-06,The Ambassador of Brazil H.E. Fernando Estellita Lins de Salvo Coimbra today paid a farewell courtesy call on Foreign Affairs Cabinet Secretary Amb. Raychelle Omamo. The Amb of Brazil will soon leave the country after a successful tour of Duty.
2021-08-20,1/  CAS @AbabuNamwamba presided over the official opening of the 4th Session of Kenya-Tanzania Joint Commission for Cooperation (JCC) in Nairobi. The bilateral discussions during the JCC are aimed at strengthening the mutually beneficial relations for the benefit of 🇰🇪 and 🇹🇿
2021-08-19,"1/2  Amb. Arthur Andambi, Director Middle East today joined the Association of South East Asia Countries (ASEAN) Nairobi Committee to celebrate the 54th ASEAN Anniversary held at the Indonesian Chancery. @IndonesiaInNBO"
2021-08-19,"Amb. Raychelle Omamo, Cabinet Secretary, for Foreign Affairs of the Republic of Kenya hosted H.E Amb. Téte António, and noted with appreciation the historical visit, the first official visit to Kenya by a Minister for External Relations of the Republic of Angola."
2021-08-19,"H.E Amb. Téte António, Minister for External Relations of the Republic of Angola made an official one-day visit to Kenya and delivered a written message from H.E. João Manuel Gonçalves Lourenço, President of the Republic of Angola to H.E. President Uhuru Muigai Kenyatta."
2021-08-11,Joint Communique issued between Foreign Affairs CS Amb Raychelle Omamo and Minister of International Relations and Cooperation of South Africa Dr. Naledi Pandor at the inaugural of Kenya-South Africa JCC.
2021-08-10,CS @ForeignOfficeKE Amb. Raychelle Omamo participated at the 73rd Extraordinary Meeting of the Council of Ministers.The mtg convened under the leadership of the current chair H.E. Maryam Al-Sadig Al-Mahdi Foreign Minister of Sudan deliberated on issues of regional Peace &amp;Security
2021-07-23,1. Foreign Affairs C.S Amb Raychelle Omamo together with Treasury C.S Amb Ukur Yattani today in Mombasa held talks with the visiting Foreign Affairs Minister of the Republic of Ireland Simon Coveney.
